abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes			
DOGULNR	"2,3 dioxo-L-gulonate reductase"	[c] : 23doguln + h + nadh --> 3dhguln + nad	b3575		(RXN0-703)	((LEFT REMOVE PROTON))				
KG6PDC	3-keto-L-gulonate 6-phosphate decarboxylase	[c] : 3dhgulnp + h --> co2 + xu5p-L	( b4196  or  b3581 )		(RXN0-705)	((LEFT REMOVE PROTON))				
OMCDC	2-Oxo-4-methyl-3-carboxypentanoate decarboxylation	[c] : 3c4mop + h --> 4mop + co2	b0073		(RXN-7800)	((LEFT REMOVE PROTON))				
ADMDC	adenosylmethionine decarboxylase	[c] : amet + h --> ametam + co2	b0120	4.1.1.50	(SAMDECARB-RXN)	((LEFT REMOVE PROTON))				
SHK3Dr	shikimate dehydrogenase	[c] : 3dhsk + h + nadph <==> nadp + skm	( b3281  or  b1692 )	1.1.1.25	(SHIKIMATE-5-DEHYDROGENASE-RXN)	((LEFT REMOVE PROTON))				
TMPPP	thiamine-phosphate diphosphorylase	[c] : 2mahmp + 4mpetz + h --> ppi + thmmp	b3993	2.5.1.3	(THI-P-SYN-RXN)	((LEFT REMOVE PROTON))				
AOBUTDs	L-2-amino-3-oxobutanoate decarboxylation (spontaneous)	[c] : 2aobut + h --> aact + co2	s0001		(THREOSPON-RXN)	((LEFT REMOVE PROTON))				
Htex	proton transport via diffusion (extracellular to periplasm)	h[e] <==> h[p]	( b0929  or  b1377  or  b2215  or  b0241 )		(TRANS-RXN-90)	((LEFT REMOVE PROTON))				
UAPGR	UDP-N-acetylenolpyruvoylglucosamine reductase	[c] : h + nadph + uaccg --> nadp + uamr	b3972	1.1.1.158	(UDPNACETYLMURAMATEDEHYDROG-RXN)	((LEFT REMOVE PROTON))				
UPPDC1	uroporphyrinogen decarboxylase (uroporphyrinogen III)	[c] : (4) h + uppg3 --> (4) co2 + cpppg3	b3997	4.1.1.37	(UROGENDECARBOX-RXN)	((LEFT REMOVE PROTON))				
DKGLCNR2y	"2,5-diketo-D-gluconate reductase (NADPH)"	[c] : 25dkglcn + h + nadph --> 5dglcn + nadp	b3553		(YIAE1-RXN)	((LEFT REMOVE PROTON))				
2DGULRy	2-dehydro-L-gulonate reductase (NADPH)	[c] : 2dhguln + h + nadph --> idon-L + nadp	b3553		(YIAE2-RXN)	((LEFT REMOVE PROTON))				
ASNS2	asparagine synthetase	[c] : asp-L + atp + nh4 --> amp + asn-L + h + ppi	b3744	6.3.1.1	(ASNSYNA-RXN)	((LEFT SUBSTITUTE AMMONIA AMMONIUM) (RIGHT REMOVE PROTON))				
GLNS	glutamine synthetase	[c] : atp + glu-L + nh4 --> adp + gln-L + h + pi	( b3870  or  b1297 )	6.3.1.2	(GLUTAMINESYN-RXN)	((LEFT SUBSTITUTE AMMONIA AMMONIUM) (RIGHT REMOVE PROTON))				
NADS1	NAD synthase (nh3)	[c] : atp + dnad + nh4 --> amp + h + nad + ppi	b1740	6.3.1.5	(NAD-SYNTH-NH3-RXN)	((LEFT SUBSTITUTE AMMONIA AMMONIUM) (RIGHT REMOVE PROTON))				
NH4tpp	ammonia reversible transport (periplasm)	nh4[p] <==> nh4[c]	( b0451  or  s0001 )		(TRANS-RXN-149)	((LEFT SUBSTITUTE AMMONIA AMMONIUM) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
HPPPNDO	"2,3-dihydroxypheylpropionate 1,2-dioxygenase"	[c] : dhpppn + o2 --> h + hkndd	b0348	1.13.11.16	(1.13.11.16-RXN)	((RIGHT REMOVE PROTON))				
FRUK	fructose-1-phosphate kinase	[c] : atp + f1p --> adp + fdp + h	b2168	2.7.1.56	(1PFRUCTPHOSN-RXN)	((RIGHT REMOVE PROTON))				
G1PACT	glucosamine-1-phosphate N-acetyltransferase	[c] : accoa + gam1p --> acgam1p + coa + h	b3730	2.3.1.157	(2.3.1.157-RXN)	((RIGHT REMOVE PROTON))				
CDPMEK	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	[c] : 4c2me + atp --> 2p4c2me + adp + h	b1208		(2.7.1.148-RXN)	((RIGHT REMOVE PROTON))				
BTS4	Biotin synthase	[c] : amet + dtbt + s --> btn + dad-5 + h + met-L	b0775	2.8.1.6	(2.8.1.6-RXN)	((RIGHT REMOVE PROTON))				
IPPS	2-isopropylmalate synthase	[c] : 3mob + accoa + h2o --> 3c3hmp + coa + h	b0074	4.1.3.12	(2-ISOPROPYLMALATESYN-RXN)	((RIGHT REMOVE PROTON))				
MCITS	2-methylcitrate synthase	[c] : h2o + oaa + ppcoa --> 2mcit + coa + h	b0333	4.1.3.31	(2-METHYLCITRATE-SYNTHASE-RXN)	((RIGHT REMOVE PROTON))				
OHPHM	2-octaprenyl-6-hydroxyphenol methylase	[c] : 2ohph + amet --> 2omph + ahcys + h	b2232		(2-OCTAPRENYL-6-OHPHENOL-METHY-RXN)	((RIGHT REMOVE PROTON))				
OMBZLM	2-Octaprenyl-6-methoxy-benzoquinol methylase	[c] : 2ombzl + amet --> 2ommbl + ahcys + h	b3833		(2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN)	((RIGHT REMOVE PROTON))				
AP4AH	Ap4A hydrolase	[c] : ap4a + h2o --> (2) adp + (2) h	b0049	3.6.1.41	(3.6.1.41-RXN)	((RIGHT REMOVE PROTON))				
PFK	phosphofructokinase	[c] : atp + f6p --> adp + fdp + h	( b3916  or  b1723 )	2.7.1.11	(6PFRUCTPHOS-RXN)	((RIGHT REMOVE PROTON))				
PGL	6-phosphogluconolactonase	[c] : 6pgl + h2o --> 6pgc + h	b0767	3.1.1.31	(6PGLUCONOLACT-RXN)	((RIGHT REMOVE PROTON))				
FEENTERabcpp	Fe-enterobactin transport via ABC system (periplasm)	atp[c] + feenter[p] + h2o[c] --> adp[c] + feenter[c] + h[c] + pi[c]	( b0592  and  b0588  and  b0590  and  b0589 )		(ABC-10-RXN)	((RIGHT REMOVE PROTON))				
FE3HOXabcpp	ferric-dicitrate transport via ABC system (periplasm)	atp[c] + fe3hox[p] + h2o[c] --> adp[c] + fe3hox[c] + h[c] + pi[c]	( b0153  and  b0151  and  b0152 )		(ABC-11-RXN)	((RIGHT REMOVE PROTON))				
GLNabcpp	L-glutamine transport via ABC system (periplasm)	atp[c] + gln-L[p] + h2o[c] --> adp[c] + gln-L[c] + h[c] + pi[c]	( b0811  and  b0810  and  b0809 )		(ABC-12-RXN)	((RIGHT REMOVE PROTON))				
GLUabcpp	L-glutamate transport via ABC system (periplasm)	atp[c] + glu-L[p] + h2o[c] --> adp[c] + glu-L[c] + h[c] + pi[c]	( b0655  and  b0654  and  b0653  and  b0652 )		(ABC-13-RXN)	((RIGHT REMOVE PROTON))				
HISabcpp	L-histidine transport via ABC system (periplasm)	atp[c] + h2o[c] + his-L[p] --> adp[c] + h[c] + his-L[c] + pi[c]	( b2309  and  b2307  and  b2306  and  b2308 )		(ABC-14-RXN)	((RIGHT REMOVE PROTON))				
ILEabcpp	L-isoleucine transport via ABC system (periplasm)	atp[c] + h2o[c] + ile-L[p] --> adp[c] + h[c] + ile-L[c] + pi[c]	( b3454  and  b3455  and  b3457  and  b3460  and  b3456 )		(ABC-15-RXN)	((RIGHT REMOVE PROTON))				
MALTabcpp	maltose transport via ABC system (periplasm)	atp[c] + h2o[c] + malt[p] --> adp[c] + h[c] + malt[c] + pi[c]	( b4034  and  b4033  and  b4032  and  b4035 )		(ABC-16-RXN)	((RIGHT REMOVE PROTON))				
GALabcpp	D-galactose transport via ABC system (periplasm)	atp[c] + gal[p] + h2o[c] --> adp[c] + gal[c] + h[c] + pi[c]	( b2149  and  b2150  and  b2148 )		(ABC-18-RXN)	((RIGHT REMOVE PROTON))				
MOBDabcpp	molybdate transport via ABC system (periplasm)	atp[c] + h2o[c] + mobd[p] --> adp[c] + h[c] + mobd[c] + pi[c]	( ( b0763  and  b0764  and  b0765 )  or  ( b2422  and  b2424  and  b2423  and  b3917 )  or  ( b2422  and  b2425  and  b2424  and  b2423 ) )		(ABC-19-RXN)	((RIGHT REMOVE PROTON))				
NI2uabcpp	"nickel transport via ABC system (uptake, periplasm)"	atp[c] + h2o[c] + ni2[p] --> adp[c] + h[c] + ni2[c] + pi[c]	( ( b3476  and  b3477  and  b3478  and  b3479  and  b3480 )  or  b4242 )		(ABC-20-RXN)	((RIGHT REMOVE PROTON))				
SPMDabcpp	spermidine transport via ABC system (periplasm)	atp[c] + h2o[c] + spmd[p] --> adp[c] + h[c] + pi[c] + spmd[c]	( ( b1440  and  b1441  and  b1442  and  b1443 )  or  ( b1126  and  b1125  and  b1124  and  b1123 ) )		(ABC-24-RXN)	((RIGHT REMOVE PROTON))				
PTRCabcpp	putrescine transport via ABC system (periplasm)	atp[c] + h2o[c] + ptrc[p] --> adp[c] + h[c] + pi[c] + ptrc[c]	( ( b0854  and  b0855  and  b0856  and  b0857 )  or  ( b1126  and  b1125  and  b1124  and  b1123 )  or  ( b1440  and  b1441  and  b1442  and  b1443 ) )		(ABC-25-RXN)	((RIGHT REMOVE PROTON))				
PROabcpp	L-proline transport via ABC system (periplasm)	atp[c] + h2o[c] + pro-L[p] --> adp[c] + h[c] + pi[c] + pro-L[c]	( b2677  and  b2678  and  b2679 )		(ABC-26-RXN)	((RIGHT REMOVE PROTON))				
RIBabcpp	D-ribose transport via ABC system (periplasm)	atp[c] + h2o[c] + rib-D[p] --> adp[c] + h[c] + pi[c] + rib-D[c]	( ( b4231  and  b4227  and  b4485  and  b4230 )  or  ( b3749  and  b3751  and  b3750  and  b3748 )  or  ( b4087  and  b4088  and  b4086 ) )		(ABC-28-RXN)	((RIGHT REMOVE PROTON))				
ARBabcpp	L-arabinose transport via ABC system (periplasm)	arab-L[p] + atp[c] + h2o[c] --> adp[c] + arab-L[c] + h[c] + pi[c]	( b1901  and  b1900  and  b4460 )		(ABC-2-RXN)	((RIGHT REMOVE PROTON))				
THMabcpp	thiamine transport via ABC system (periplasm)	atp[c] + h2o[c] + thm[p] --> adp[c] + h[c] + pi[c] + thm[c]	( b0068  and  b0067  and  b0066 )		(ABC-32-RXN)	((RIGHT REMOVE PROTON))				
XYLabcpp	D-xylose transport via ABC system (periplasm)	atp[c] + h2o[c] + xyl-D[p] --> adp[c] + h[c] + pi[c] + xyl-D[c]	( b3566  and  b3567  and  b3568 )		(ABC-33-RXN)	((RIGHT REMOVE PROTON))				
GLYC3Pabcpp	sn-Glycerol 3-phosphate transport via ABC system (periplasm)	atp[c] + glyc3p[p] + h2o[c] --> adp[c] + glyc3p[c] + h[c] + pi[c]	( b3452  and  b3453  and  b3450  and  b3451 )		(ABC-34-RXN)	((RIGHT REMOVE PROTON))				
LEUabcpp	L-leucine transport via ABC system (periplasm)	atp[c] + h2o[c] + leu-L[p] --> adp[c] + h[c] + leu-L[c] + pi[c]	( ( b3454  and  b3455  and  b3457  and  b3458  and  b3456 )  or  ( b3454  and  b3455  and  b3457  and  b3460  and  b3456 ) )		(ABC-35-RXN)	((RIGHT REMOVE PROTON))				
VALabcpp	L-valine transport via ABC system (periplasm)	atp[c] + h2o[c] + val-L[p] --> adp[c] + h[c] + pi[c] + val-L[c]	( b3454  and  b3455  and  b3457  and  b3460  and  b3456 )		(ABC-36-RXN)	((RIGHT REMOVE PROTON))				
ORNabcpp	ornithine transport via ABC system (periplasm)	atp[c] + h2o[c] + orn[p] --> adp[c] + h[c] + orn[c] + pi[c]	( b2310  and  b2307  and  b2306  and  b2308 )		(ABC-37-RXN)	((RIGHT REMOVE PROTON))				
LYSabcpp	L-lysine transport via ABC system (periplasm)	atp[c] + h2o[c] + lys-L[p] --> adp[c] + h[c] + lys-L[c] + pi[c]	( b2310  and  b2307  and  b2306  and  b2308 )		(ABC-3-RXN)	((RIGHT REMOVE PROTON))				
ALLabcpp	D-allose transport via ABC system (periplasm)	all-D[p] + atp[c] + h2o[c] --> adp[c] + all-D[c] + h[c] + pi[c]	( b4087  and  b4088  and  b4086 )		(ABC-42-RXN)	((RIGHT REMOVE PROTON))				
ARGabcpp	L-arginine transport via ABC system (periplasm)	arg-L[p] + atp[c] + h2o[c] --> adp[c] + arg-L[c] + h[c] + pi[c]	( ( b2310  and  b2307  and  b2306  and  b2308 )  or  ( b0863  and  b0860  and  b0861  and  b0864  and  b0862 ) )		(ABC-4-RXN)	((RIGHT REMOVE PROTON))				
CBL1abcpp	Cob(1)alamin transport via ABC system (periplasm)	atp[c] + cbl1[p] + h2o[c] --> adp[c] + cbl1[c] + h[c] + pi[c]	( b1711  and  b1709  and  b0158 )		(ABC-5-RXN)	((RIGHT REMOVE PROTON))				
ZNabcpp	zinc (Zn+2) transport via ABC system (periplasm)	atp[c] + h2o[c] + zn2[p] --> adp[c] + h[c] + pi[c] + zn2[c]	( b1857  and  b1859  and  b1858 )		(ABC-63-RXN)	((RIGHT REMOVE PROTON))				
ETHSO3abcpp	ethanesulfonate transport via ABC system (periplasm)	atp[c] + ethso3[p] + h2o[c] --> adp[c] + ethso3[c] + h[c] + pi[c]	( b0936  and  b0933  and  b0934 )		(ABC-64-RXN)	((RIGHT REMOVE PROTON))				
TAURabcpp	taurine transport via ABC system (periplasm)	atp[c] + h2o[c] + taur[p] --> adp[c] + h[c] + pi[c] + taur[c]	( b0365  and  b0366  and  b0367 )		(ABC-64-RXN)	((RIGHT REMOVE PROTON))				
SULabcpp	sulfate transport via ABC system (periplasm)	atp[c] + h2o[c] + so4[p] --> adp[c] + h[c] + pi[c] + so4[c]	( ( b2422  and  b2425  and  b2424  and  b2423 )  or  ( b0763  and  b0764  and  b0765 )  or  ( b2422  and  b2424  and  b2423  and  b3917 ) )		(ABC-70-RXN)	((RIGHT REMOVE PROTON))				
TSULabcpp	thiosulfate transport via ABC system (periplasm)	atp[c] + h2o[c] + tsul[p] --> adp[c] + h[c] + pi[c] + tsul[c]	( ( b2422  and  b2425  and  b2424  and  b2423 )  or  ( b2422  and  b2424  and  b2423  and  b3917 ) )		(ABC-7-RXN)	((RIGHT REMOVE PROTON))				
ACALD	acetaldehyde dehydrogenase (acetylating)	[c] : acald + coa + nad <==> accoa + h + nadh	( b1241  or  b0351 )	1.2.1.10	(ACETALD-DEHYDROG-RXN)	((RIGHT REMOVE PROTON))				
CYSS	cysteine synthase	[c] : acser + h2s --> ac + cys-L + h	( b2421  or  b2414 )		(ACSERLY-RXN)	((RIGHT REMOVE PROTON))				
ADCL	4-aminobenzoate synthase	[c] : 4adcho --> 4abz + h + pyr	b1096		(ADCLY-RXN)	((RIGHT REMOVE PROTON))				
ADSS	adenylosuccinate synthase	[c] : asp-L + gtp + imp --> dcamp + gdp + (2) h + pi	b4177	6.3.4.4	(ADENYLOSUCCINATE-SYNTHASE-RXN)	((RIGHT REMOVE PROTON))				
ADSK	adenylyl-sulfate kinase	[c] : aps + atp --> adp + h + paps	b2750	2.7.1.25	(ADENYLYLSULFKIN-RXN)	((RIGHT REMOVE PROTON))				
PRAIS	phosphoribosylaminoimidazole synthase	[c] : atp + fpram --> adp + air + (2) h + pi	b2499	6.3.3.1	(AIRS-RXN)	((RIGHT REMOVE PROTON))				
ALCD2x	alcohol dehydrogenase (ethanol)	[c] : etoh + nad <==> acald + h + nadh	( b0356  or  b1478  or  b1241 )	1.1.1.1	(ALCOHOL-DEHYDROG-RXN)	((RIGHT REMOVE PROTON))				
ALLTN	allantoinase	[c] : alltn + h2o --> alltt + h	b0512	3.5.2.5	(ALLANTOINASE-RXN)	((RIGHT REMOVE PROTON))				
ALLK	Allose kinase	[c] : all-D + atp --> adp + all6p + h	b4084		(ALLOSE-KINASE-RXN)	((RIGHT REMOVE PROTON))				
TAGURr	tagaturonate reductase	[c] : altrn + nad <==> h + nadh + tagur	b1521	1.1.1.58	(ALTRO-OXIDOREDUCT-RXN)	((RIGHT REMOVE PROTON))				
ANS	anthranilate synthase	[c] : chor + gln-L --> anth + glu-L + h + pyr	( b1263  and  b1264 )	4.1.3.27	(ANTHRANSYN-RXN)	((RIGHT REMOVE PROTON))				
AST	Arginine succinyltransferase	[c] : arg-L + succoa --> coa + h + sucarg	b1747	2.3.1.109	(ARGININE-N-SUCCINYLTRANSFERASE-RXN)	((RIGHT REMOVE PROTON))				
ARGSS	argininosuccinate synthase	[c] : asp-L + atp + citr-L --> amp + argsuc + h + ppi	b3172	6.3.4.5	(ARGSUCCINSYN-RXN)	((RIGHT REMOVE PROTON))				
ASNS1	asparagine synthase (glutamine-hydrolysing)	[c] : asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi	b0674	6.3.5.4	(ASNSYNB-RXN)	((RIGHT REMOVE PROTON))				
ASAD	aspartate-semialdehyde dehydrogenase	[c] : aspsa + nadp + pi <==> 4pasp + h + nadph	b3433	1.2.1.11	(ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN)	((RIGHT REMOVE PROTON))				
ASPCT	aspartate carbamoyltransferase	[c] : asp-L + cbp --> cbasp + h + pi	( b4244  and  b4245 )	2.1.3.2	(ASPCARBTRANS-RXN)	((RIGHT REMOVE PROTON))				
BETALDHx	betaine-aldehyde dehydrogenase	[c] : betald + h2o + nad --> glyb + (2) h + nadh	b0312	1.2.1.8	(BADH-RXN)	((RIGHT REMOVE PROTON))				
CDAPPA120	CDP-Diacylglycerol pyrophostatase (n-C12:0)	[c] : cdpdddecg + h2o --> cmp + (2) h + pa120	b3918	3.6.1.26	(CDPDIGLYPYPHOSPHA-RXN)	((RIGHT REMOVE PROTON))				
CDAPPA140	CDP-Diacylglycerol pyrophostatase (n-C14:0)	[c] : cdpdtdecg + h2o --> cmp + (2) h + pa140	b3918	3.6.1.26	(CDPDIGLYPYPHOSPHA-RXN)	((RIGHT REMOVE PROTON))				
CDAPPA141	CDP-Diacylglycerol pyrophostatase (n-C14:1)	[c] : cdpdtdec7eg + h2o --> cmp + (2) h + pa141	b3918	3.6.1.26	(CDPDIGLYPYPHOSPHA-RXN)	((RIGHT REMOVE PROTON))				
CDAPPA160	CDP-Diacylglycerol pyrophostatase (n-C16:0)	[c] : cdpdhdecg + h2o --> cmp + (2) h + pa160	b3918	3.6.1.26	(CDPDIGLYPYPHOSPHA-RXN)	((RIGHT REMOVE PROTON))				
CDAPPA161	CDP-Diacylglycerol pyrophostatase (n-C16:1)	[c] : cdpdhdec9eg + h2o --> cmp + (2) h + pa161	b3918	3.6.1.26	(CDPDIGLYPYPHOSPHA-RXN)	((RIGHT REMOVE PROTON))				
CDAPPA180	CDP-Diacylglycerol pyrophostatase (n-C18:0)	[c] : cdpdodecg + h2o --> cmp + (2) h + pa180	b3918	3.6.1.26	(CDPDIGLYPYPHOSPHA-RXN)	((RIGHT REMOVE PROTON))				
CDAPPA181	CDP-Diacylglycerol pyrophostatase (n-C18:1)	[c] : cdpdodec11eg + h2o --> cmp + (2) h + pa181	b3918	3.6.1.26	(CDPDIGLYPYPHOSPHA-RXN)	((RIGHT REMOVE PROTON))				
CS	citrate synthase	[c] : accoa + h2o + oaa --> cit + coa + h	b0720		(CITSYN-RXN)	((RIGHT REMOVE PROTON))				
ADOCBLS	Adenosylcobalamin 5'-phosphate synthase	[c] : agdpcbi + rdmbzi --> adocbl + gmp + h	b1992		(COBALAMINSYN-RXN)	((RIGHT REMOVE PROTON))				
ADOCBIK	Adenosyl cobinamide kinase	[c] : adocbi + atp --> adocbip + adp + h	b1993		(COBINAMIDEKIN-RXN)	((RIGHT REMOVE PROTON))				
CYTDK2	cytidine kinase (GTP)	[c] : cytd + gtp --> cmp + gdp + h	b2066		(CYTIDINEKIN-RXN)	((RIGHT REMOVE PROTON))				
ALAALAr	D-alanine-D-alanine ligase (reversible)	[c] : (2) ala-D + atp <==> adp + alaala + h + pi	( b0381  or  b0092 )	6.3.2.4	(DALADALALIG-RXN)	((RIGHT REMOVE PROTON))				
NTPP3	Nucleoside triphosphate pyrophosphorylase (dctp)	[c] : dctp + h2o --> dcmp + h + ppi	( b2781  or  b1759  or  b2251 )		(DCTP-PYROPHOSPHATASE-RXN)	((RIGHT REMOVE PROTON))				
DDGALK	2-dehydro-3-deoxygalactonokinase	[c] : 2dh3dgal + atp --> 2dh3dgal6p + adp + h	b3693	2.7.1.58	(DEHYDDEOXGALACTKIN-RXN)	((RIGHT REMOVE PROTON))				
DDGLK	2-dehydro-3-deoxygluconokinase	[c] : 2ddglcn + atp --> 2ddg6p + adp + h	b3526	2.7.1.45	(DEOXYGLUCONOKIN-RXN)	((RIGHT REMOVE PROTON))				
DPCOAK	dephospho-CoA kinase	[c] : atp + dpcoa --> adp + coa + h	b0103	2.7.1.24	(DEPHOSPHOCOAKIN-RXN)	((RIGHT REMOVE PROTON))				
DBTS	dethiobiotin synthase	[c] : atp + co2 + dann --> adp + dtbt + (3) h + pi	b0778	6.3.3.3	(DETHIOBIOTIN-SYN-RXN)	((RIGHT REMOVE PROTON))				
DHBD	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"	[c] : 23ddhb + nad <==> 23dhb + h + nadh	b0596	1.3.1.28	(DHBDEHYD-RXN)	((RIGHT REMOVE PROTON))				
DAGK120	diacylglycerol kinase (n-C12:0)	[c] : 12dgr120 + atp --> adp + h + pa120	b4042	2.7.1.107	(DIACYLGLYKIN-RXN)	((RIGHT REMOVE PROTON))				
DAGK140	diacylglycerol kinase (n-C14:0)	[c] : 12dgr140 + atp --> adp + h + pa140	b4042	2.7.1.107	(DIACYLGLYKIN-RXN)	((RIGHT REMOVE PROTON))				
DAGK141	diacylglycerol kinase (n-C14:1)	[c] : 12dgr141 + atp --> adp + h + pa141	b4042	2.7.1.107	(DIACYLGLYKIN-RXN)	((RIGHT REMOVE PROTON))				
DAGK160	diacylglycerol kinase (n-C16:0)	[c] : 12dgr160 + atp --> adp + h + pa160	b4042	2.7.1.107	(DIACYLGLYKIN-RXN)	((RIGHT REMOVE PROTON))				
DAGK161	diacylglycerol kinase (n-C16:1)	[c] : 12dgr161 + atp --> adp + h + pa161	b4042	2.7.1.107	(DIACYLGLYKIN-RXN)	((RIGHT REMOVE PROTON))				
DAGK180	diacylglycerol kinase (n-C18:0)	[c] : 12dgr180 + atp --> adp + h + pa180	b4042	2.7.1.107	(DIACYLGLYKIN-RXN)	((RIGHT REMOVE PROTON))				
DAGK181	diacylglycerol kinase (n-C18:1)	[c] : 12dgr181 + atp --> adp + h + pa181	b4042	2.7.1.107	(DIACYLGLYKIN-RXN)	((RIGHT REMOVE PROTON))				
DHDPS	dihydrodipicolinate synthase	[c] : aspsa + pyr --> 23dhdp + h + (2) h2o	b2478	4.2.1.52	(DIHYDRODIPICSYN-RXN)	((RIGHT REMOVE PROTON))				
DHFS	dihydrofolate synthase	[c] : atp + dhpt + glu-L --> adp + dhf + h + pi	b2315	6.3.2.12	(DIHYDROFOLATESYNTH-RXN)	((RIGHT REMOVE PROTON))				
DHORTS	dihydroorotase	[c] : dhor-S + h2o <==> cbasp + h	b1062	3.5.2.3	(DIHYDROOROT-RXN)	((RIGHT REMOVE PROTON))				
SHCHD2	sirohydrochlorin dehydrogenase (NAD)	[c] : dscl + nad --> h + nadh + scl	b3368		(DIMETHUROPORDEHYDROG-RXN)	((RIGHT REMOVE PROTON))				
DB4PS	"3,4-Dihydroxy-2-butanone-4-phosphate synthase"	[c] : ru5p-D --> db4p + for + h	b3041		(DIOHBUTANONEPSYN-RXN)	((RIGHT REMOVE PROTON))				
LDH_D	D-lactate dehydrogenase	[c] : lac-D + nad <==> h + nadh + pyr	( b2133  or  b1380 )	1.1.1.28	(DLACTDEHYDROGNAD-RXN)	((RIGHT REMOVE PROTON))				
NNDMBRT	Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase	[c] : dmbzid + nicrnt --> 5prdmbz + h + nac	b1991		(DMBPPRIBOSYLTRANS-RXN)	((RIGHT REMOVE PROTON))				
DURIK1	deoxyuridine kinase (ATP:Deoxyuridine)	[c] : atp + duri --> adp + dump + h	b1238		(DURIDKI-RXN)	((RIGHT REMOVE PROTON))				
DUTPDP	dUTP diphosphatase	[c] : dutp + h2o --> dump + h + ppi	( b3640  or  b2251 )	3.6.1.23	(DUTP-PYROP-RXN)	((RIGHT REMOVE PROTON))				
ENTCS	enterochelin synthase	[c] : (3) 23dhba + (3) seramp --> (6) amp + enter + (9) h	b0583		(ENTG-RXN)	((RIGHT REMOVE PROTON))				
PRFGS	phosphoribosylformylglycinamidine synthase	[c] : atp + fgam + gln-L + h2o --> adp + fpram + glu-L + h + pi	b2557	6.3.5.3	(FGAMSYN-RXN)	((RIGHT REMOVE PROTON))				
FTHFD	formyltetrahydrofolate deformylase	[c] : 10fthf + h2o --> for + h + thf	b1232	3.5.1.10	(FORMYLTHFDEFORMYL-RXN)	((RIGHT REMOVE PROTON))				
HEX7	hexokinase (D-fructose:ATP)	[c] : atp + fru --> adp + f6p + h	b0394	2.7.1.1	(FRUCTOKINASE-RXN)	((RIGHT REMOVE PROTON))				
AADDGT	"dTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase"	[c] : dtdp4aaddg + unagamu --> dtdp + h + unagamuf	b4481		(FUC4NACTRANS-RXN)	((RIGHT REMOVE PROTON))				
FCLK	L-fuculokinase	[c] : atp + fcl-L --> adp + fc1p + h	b2803	2.7.1.51	(FUCULOKIN-RXN)	((RIGHT REMOVE PROTON))				
GLTPD	Galactitol-1-phosphate dehydrogenase	[c] : galt1p + nad <==> h + nadh + tag6p-D	b2091		(GALACTITOLPDEHYD-RXN)	((RIGHT REMOVE PROTON))				
GALKr	galactokinase	[c] : atp + gal <==> adp + gal1p + h	( b2045  or  b0757 )	2.7.1.6	(GALACTOKIN-RXN)	((RIGHT REMOVE PROTON))				
GAPD	glyceraldehyde-3-phosphate dehydrogenase	[c] : g3p + nad + pi <==> 13dpg + h + nadh	b1779	1.2.1.12	(GAPOXNPHOSPHN-RXN)	((RIGHT REMOVE PROTON))				
GART	GAR transformylase-T	[c] : atp + for + gar --> adp + fgam + h + pi	b1849		(GARTRANSFORMYL2-RXN)	((RIGHT REMOVE PROTON))				
GARFT	phosphoribosylglycinamide formyltransferase	[c] : 10fthf + gar <==> fgam + h + thf	b2500	2.1.2.2	(GART-RXN)	((RIGHT REMOVE PROTON))				
GDPMNH	GDP-mannose mannosyl hydrolase	[c] : gdpmann + h2o --> gdp + h + man	b2051		(GDPMANMANHYDRO-RXN)	((RIGHT REMOVE PROTON))				
GDPDPK	GDP diphosphokinase	[c] : atp + gdp --> amp + h + ppgpp	( b2784  or  b3650 )		(GDPPYPHOSKIN-RXN)	((RIGHT REMOVE PROTON))				
GLYCK2	glycerate kinase	[c] : atp + glyc-R --> 2pg + adp + h	b3124	2.7.1.31	(GKI-RXN)	((RIGHT REMOVE PROTON))				
HEX1	hexokinase (D-glucose:ATP)	[c] : atp + glc-D --> adp + g6p + h	b2388	2.7.1.1	(GLUCOKIN-RXN)	((RIGHT REMOVE PROTON))				
GNK	gluconokinase	[c] : atp + glcn --> 6pgc + adp + h	( b4268  or  b3437 )	2.7.1.12	(GLUCONOKIN-RXN)	((RIGHT REMOVE PROTON))				
IG3PS	Imidazole-glycerol-3-phosphate synthase	[c] : gln-L + prlp --> aicar + eig3p + glu-L + h	( b2023  and  b2025 )		(GLUTAMIDOTRANS-RXN)	((RIGHT REMOVE PROTON))				
GTHS	glutathione synthetase	[c] : atp + glucys + gly --> adp + gthrd + h + pi	b2947	6.3.2.3	(GLUTATHIONE-SYN-RXN)	((RIGHT REMOVE PROTON))				
GLUCYS	gamma-glutamylcysteine synthetase	[c] : atp + cys-L + glu-L --> adp + glucys + h + pi	b2688	6.3.2.2	(GLUTCYSLIG-RXN)	((RIGHT REMOVE PROTON))				
